index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,xpix,ypix,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag,parallax_mas,radial_velocity_kms
1,2542178502415585280,5.9772884383,-0.7764174172,00:23:54.5,-00:46:35.1,756.368,2019.333,5.9772351726,-0.7763884101,17.83818,-9.71511,13.0050,13.3231,12.5229,2.35527,9.04613
2,2543764719736945920,5.9418804827,-0.1705250216,00:23:46.1,-00:10:13.9,883.657,4200.665,5.9419421113,-0.1704718302,-20.64061,-17.81492,13.0083,13.4369,12.4142,1.41366,-41.46781
3,2542115830251943040,5.1417759290,-0.9634731294,00:20:34.0,-00:57:48.5,3763.925,1345.888,5.1417199100,-0.9634396306,18.75927,-11.21946,13.0085,13.3370,12.5211,1.59743,-6.60958
4,2541857788616942208,5.6413870485,-1.3053326927,00:22:33.9,-01:18:19.2,1965.547,115.233,5.6412630253,-1.3053092807,41.52718,-7.84117,13.0508,13.3852,12.5448,2.43054,-25.53428
5,2542119163146586880,5.2053074922,-0.8409353517,00:20:49.3,-00:50:27.4,3535.267,1787.065,5.2053000197,-0.8409310103,2.50243,-1.45404,13.0724,13.5395,12.4423,0.29265,-31.38159
6,2542210869289116800,5.9027651055,-0.3777984025,00:23:36.7,-00:22:40.1,1024.536,3454.422,5.9027737635,-0.3777756553,-2.89969,-7.61853,13.0991,13.4937,12.5407,2.82382,-14.94561
7,2542063500370413440,5.2194280966,-1.1169668346,00:20:52.7,-01:07:01.1,3484.354,793.316,5.2193738732,-1.1169621609,18.15711,-1.56530,13.1399,13.4479,12.6681,1.77263,5.03591
8,2542228392755608960,5.3848406441,-0.5271514727,00:21:32.4,-00:31:37.7,2889.051,2916.746,5.3848444576,-0.5271368420,-1.27716,-4.90014,13.1455,13.2194,13.0149,0.28306,nan
9,2542181766590727296,5.9140456069,-0.7304837424,00:23:39.4,-00:43:49.7,984.019,2184.716,5.9140832224,-0.7304635806,-12.59719,-6.75261,13.1517,13.4652,12.6744,1.81029,-13.93258
10,2542123385098436480,5.0717031538,-0.7961025546,00:20:17.2,-00:47:46.0,4016.241,1948.415,5.0717297843,-0.7960563313,-8.91825,-15.48115,13.1765,13.6289,12.4792,2.60345,14.12298
11,2542143038868733056,5.6430757603,-1.0896409337,00:22:34.3,-01:05:22.7,1959.460,891.775,5.6429845595,-1.0895139833,30.53953,-42.51835,13.1767,13.7075,12.4930,3.08771,11.49655
12,2542213240110970752,5.2283508275,-0.7932504390,00:20:54.8,-00:47:35.7,3452.331,1958.742,5.2283422842,-0.7932475753,2.86106,-0.95913,13.1825,13.4532,12.7509,1.33694,-16.13257
13,2542055838148759552,5.1438593043,-1.2299656035,00:20:34.5,-01:13:47.9,3756.329,386.447,5.1438410954,-1.2299542985,6.09714,-3.78629,13.2162,13.6898,12.5822,0.81534,-12.21872
14,2542263405329076480,5.7531128663,-0.2384014748,00:23:00.7,-00:14:18.2,1563.275,3956.297,5.7530813527,-0.2383722258,10.55448,-9.79608,13.2164,13.5615,12.7002,1.71587,10.59590
15,2542270930111702656,5.3490744994,-0.2355421934,00:21:23.8,-00:14:08.0,3017.862,3966.587,5.3490978682,-0.2355135875,-7.82664,-9.58071,13.2207,13.5267,12.7457,1.46866,12.06401
16,2542235986257762560,5.1309047384,-0.5632651371,00:20:31.4,-00:33:47.8,3803.206,2786.683,5.1308793271,-0.5632572195,8.51037,-2.65177,13.2474,13.7367,12.6003,0.55783,52.95761
17,2541989764372394112,6.1727047232,-0.8437823286,00:24:41.4,-00:50:37.6,52.915,1776.725,6.1726527421,-0.8438081351,17.40766,8.64313,13.2624,13.7200,12.6419,3.34050,-1.53558
18,2542044190197465344,5.2946365672,-1.2251414122,00:21:10.7,-01:13:30.5,3213.615,403.891,5.2947304931,-1.2250222534,-31.45058,-39.90879,13.2632,13.6729,12.6920,2.42222,-13.70491
19,2541958600089647488,5.9784238284,-1.0767676836,00:23:54.8,-01:04:36.4,752.376,938.032,5.9783676888,-1.0767482767,18.79903,-6.49979,13.2656,13.5360,12.8356,1.29961,5.37568
20,2545277304139703424,5.2054849326,-0.1842649457,00:20:49.3,-00:11:03.4,3534.832,4151.193,5.2053996402,-0.1842710030,28.56606,2.02872,13.2739,13.5919,12.7877,1.21287,-7.26507
21,2541984713490829952,6.1840319056,-0.9407770917,00:24:44.2,-00:56:26.8,12.184,1427.516,6.1839809971,-0.9408175149,17.04803,13.53861,13.2826,13.7647,12.6445,3.25110,6.56123
22,2542176440831285120,5.9766749298,-0.8802685704,00:23:54.4,-00:52:49.0,758.610,1645.459,5.9766430346,-0.8802723056,10.68114,1.25098,13.2966,13.6236,12.8031,1.90954,22.25785
23,2545277372859179648,5.1697810396,-0.1831127723,00:20:40.7,-00:10:59.2,3663.378,4155.339,5.1698287155,-0.1830188156,-15.96756,-31.46811,13.3081,13.6505,12.7969,1.83405,-19.27807
24,2545247754764672640,5.0298479186,-0.3574348702,00:20:07.2,-00:21:26.8,4167.116,3527.694,5.0298790135,-0.3573989439,-10.41412,-12.03249,13.3118,13.5760,12.8924,0.66897,-47.55696
25,2542264470480893312,5.4471234212,-0.4297097992,00:21:47.3,-00:25:47.0,2664.850,3267.551,5.4471245964,-0.4296886085,-0.39360,-7.09720,13.3123,13.6434,12.8138,2.09051,17.95092
26,2542272545019443712,5.4172658985,-0.2070479628,00:21:40.1,-00:12:25.4,2772.367,4069.179,5.4172042314,-0.2070356613,20.65348,-4.12000,13.3170,13.8006,12.6792,3.34041,-5.48026
