index,source_id,ra_2026p10_deg,dec_2026p10_deg,xpix,ypix,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
1,2558866786821750784,24.8678089707,2.7270371749,2796.266,1536.948,24.8677645411,2.7270598055,14.86357,-7.57947,10.0843,10.7154,9.3271
2,2560299416112636544,25.4234076480,2.5210286196,798.183,795.302,25.4234267734,2.5210279653,-6.39929,0.21914,10.3881,10.5925,10.0315
3,2560322780734749440,25.3073169653,2.6942893457,1215.802,1418.980,25.3073074979,2.6943083442,3.16731,-6.36300,10.4128,11.1103,9.6077
4,2558862732372413696,24.7938826920,2.5658577957,3062.281,956.757,24.7939055134,2.5658808966,-7.63570,-7.73697,10.8264,10.9011,10.6665
5,2560354048096628992,25.3885463765,2.9670980791,923.899,2401.151,25.3884977955,2.9671393266,16.24898,-13.81465,10.8467,11.1176,10.4068
6,2560315908787023872,25.1107731386,2.6385534052,1922.587,1218.292,25.1106445653,2.6385210374,43.01625,10.84065,10.8991,11.1564,10.4787
7,2560336348536164992,25.5575624831,2.8058684678,316.030,1820.888,25.5576176984,2.8058468835,-18.47062,7.22905,11.0296,11.3032,10.5866
8,2560384589608828416,24.8085304206,2.8834666948,3009.272,2100.159,24.8084540695,2.8834855124,25.53921,-6.30241,11.1147,11.4989,10.5628
9,2560331301949830400,25.2898222109,2.9326096052,1278.820,2276.929,25.2898204612,2.9326346916,0.58524,-8.40195,11.2899,11.5613,10.8402
10,2558866889900750464,24.8729523372,2.7255198228,2777.772,1531.482,24.8723480791,2.7250469684,202.14984,158.36893,11.5997,12.3970,10.7220
11,2560400983499191552,24.9389802943,3.1908870866,2540.041,3206.789,24.9389654958,3.1909895241,4.94863,-34.30848,11.6643,12.2343,10.9058
12,2558796040120262144,25.1764718916,2.4087590252,1686.299,391.012,25.1765261568,2.4088185403,-18.15848,-19.93288,11.6804,12.1553,11.0404
13,2558798410942413056,25.0448381319,2.4157378465,2159.771,416.149,25.0448278829,2.4157861446,3.42955,-16.17607,11.7201,12.0120,11.2665
14,2560387785064496128,24.8505491603,2.9767679800,2858.107,2436.008,24.8505456153,2.9767702313,1.18568,-0.75401,11.7223,12.2165,11.0665
15,2560410256333095936,25.2955677637,3.2260078529,1258.299,3333.197,25.2955363927,3.2259683150,10.49015,13.24207,11.7483,12.0410,11.2837
16,2560591370809580672,24.6850466587,3.2514914476,3452.753,3425.279,24.6850567900,3.2515505614,-3.38771,-19.79846,11.7794,12.1271,11.2639
17,2558791745152969344,24.9713901681,2.3381768968,2423.997,136.939,24.9713990779,2.3381940414,-2.98160,-5.74208,11.8687,12.4618,11.1338
18,2558817441941559680,25.0197680670,2.6350156737,2249.861,1205.577,25.0197121815,2.6350375976,18.69743,-7.34278,12.0677,12.1015,11.2122
19,2558779027754401664,24.7065118850,2.3032637392,3376.872,11.447,24.7064797081,2.3033062928,10.76801,-14.25209,12.0863,12.4053,11.6056
20,2560383971133246848,25.1731411095,3.1004448359,1698.339,2881.113,25.1731888704,3.1004880430,-15.97273,-14.47096,12.1203,12.4431,11.6305
21,2560296632973830528,25.3405881154,2.4375789394,1096.003,494.818,25.3404973800,2.4378021424,30.36171,-74.75538,12.1876,12.7111,11.5087
22,2512254468830631552,25.6000022353,2.3404956520,162.771,145.514,25.5997745470,2.3405220950,76.19399,-8.85632,12.2155,12.7002,11.5801
23,2560415925689925376,25.4626600163,3.2884830497,657.754,3558.263,25.4626772284,3.2885100311,-5.75522,-9.03661,12.2373,12.5212,11.7937
24,2560306318124834816,25.4544186312,2.5961332139,686.718,1065.713,25.4544430113,2.5961570616,-8.15702,-7.98707,12.2695,12.5318,11.8517
25,2558805729566441088,24.6760931132,2.3484462824,3486.237,174.156,24.6759226695,2.3484745761,57.03723,-9.47617,12.3212,12.7392,11.7404
26,2560396241855313024,25.0537073468,3.1328813051,2127.668,2997.900,25.0536521942,3.1329007993,18.44417,-6.52902,12.3349,12.6515,11.8611
27,2558811669505507456,24.9878027064,2.4970508296,2364.882,708.907,24.9877711556,2.4970319523,10.55701,6.32240,12.3440,12.8482,11.6780
28,2558868637951726208,24.6526754248,2.7208977778,3569.915,1515.093,24.6526835984,2.7209020842,-2.73440,-1.44230,12.4649,12.8160,11.9485
29,2558861014385467392,24.6671562645,2.5981772482,3518.019,1073.260,24.6671569839,2.5982318036,-0.24068,-18.27175,12.5138,12.7776,12.0936
30,2560422316601262208,25.2780695430,3.2733218962,1321.214,3503.529,25.2781085421,3.2733871000,-13.04030,-21.83811,12.5457,12.9090,11.9433
31,2558804733134052096,24.7991682193,2.3985141748,3043.449,354.284,24.7989559461,2.3988778751,71.03249,-121.81087,12.5878,13.2709,11.7897
32,2560376691164189824,25.0942319464,2.8928490976,1982.032,2133.761,25.0942183918,2.8928491579,4.53392,-0.02020,12.5934,13.2242,11.8431
33,2560405141027575936,25.4588508485,3.1498411564,671.312,3059.114,25.4588047049,3.1499090880,15.43111,-22.75171,12.6131,12.9430,12.1212
34,2558800025849911424,25.0819094413,2.4451378069,2026.424,521.985,25.0818680857,2.4450920088,13.83825,15.33874,12.6385,12.9498,12.1686
35,2558856307101542144,24.6798048837,2.4882582537,3472.685,677.514,24.6798507956,2.4882814406,-15.36236,-7.76578,12.6787,13.0148,12.0993
36,2558884550806240768,24.6860046217,2.8881538270,3449.822,2117.187,24.6859892668,2.8882838117,5.13613,-43.53460,12.6822,13.1533,12.0511
37,2560390297620557824,24.6591519041,3.0068558916,3546.198,2544.573,24.6591261969,3.0068636285,8.59804,-2.59126,12.6873,12.9907,12.2248
38,2560380122842842880,25.0843522142,2.9452025230,2017.544,2322.236,25.0843838707,2.9453754436,-10.58842,-57.91473,12.7064,13.1292,12.1246
39,2558795279910307584,25.2417076999,2.3757439722,1451.642,272.163,25.2416631226,2.3757573048,14.91704,-4.46538,12.8646,13.2296,12.3394
40,2558804939292481792,24.8916924862,2.4068477793,2710.630,384.214,24.8916947129,2.4068839982,-0.74510,-12.13045,12.9080,13.2040,12.4550
41,2558798067344827392,24.9972629517,2.3922992094,2330.904,331.781,24.9972934775,2.3922893941,-10.21482,3.28735,12.9156,13.3868,12.2776
42,2560349409531951744,25.5076812103,2.8852564346,495.484,2106.631,25.5076894751,2.8852702815,-2.76453,-4.63763,12.9388,13.4360,12.2886
43,2560300751847218944,25.3982520000,2.6040581218,888.723,1094.198,25.3981827047,2.6040727231,23.18448,-4.89027,12.9488,13.3225,12.4148
44,2558864553438544384,24.7586982005,2.6346788005,3188.743,1204.557,24.7587021126,2.6347577847,-1.30888,-26.45348,12.9550,13.2694,12.3064
45,2558887540103478528,24.6911320542,2.9075194519,3431.358,2186.898,24.6911337577,2.9075357444,-0.56980,-5.45668,12.9955,13.5452,12.3004
46,2560378958906918912,25.1839715411,2.9773770001,1659.391,2438.062,25.1839647230,2.9773873284,2.28045,-3.45917,13.0766,13.4265,12.5611
47,2560356762515984256,25.5421555202,3.0730467502,371.757,2782.741,25.5421189887,3.0730825122,12.21758,-11.97744,13.1456,13.4878,12.6394
48,2560396997769556864,25.0454648928,3.1454242850,2157.293,3043.060,25.0454623125,3.1454183153,0.86291,1.99937,13.1769,13.5259,12.6622
49,2560410191909313152,25.3214714816,3.2200116520,1165.187,3311.624,25.3214757976,3.2200320778,-1.44325,-6.84104,13.1815,13.7390,12.4611
50,2558854863992304896,24.6480590683,2.4823793095,3586.881,656.390,24.6480730757,2.4824365246,-4.68697,-19.16254,13.1909,13.5570,12.6571
51,2560413593523236480,25.6155005326,3.2796695539,108.375,3526.748,25.6154825243,3.2796737701,6.02150,-1.41209,13.1968,13.4918,12.7365
52,2560412253493442816,25.4445282418,3.2246273097,722.866,3328.345,25.4445676268,3.2246098317,-13.16997,5.85375,13.2019,13.9728,12.3437
53,2560400051490796032,24.9500377958,3.1646674183,2500.310,3112.386,24.9500159573,3.1647145807,7.30303,-15.79568,13.2182,13.5574,12.7066
54,2560382807197613824,25.1837711315,3.0498755926,1660.120,2699.060,25.1837776175,3.0499977827,-2.16920,-40.92405,13.2203,13.6592,12.6194
55,2512259244834256000,25.4857304737,2.4530669485,573.957,550.682,25.4857216048,2.4530866307,2.96767,-6.59200,13.2227,13.4846,12.8036
56,2558884310288100864,24.7172477837,2.8895820492,3337.480,2122.285,24.7171726933,2.8896056164,25.11735,-7.89314,13.2323,13.5889,12.7124
57,2560298419680248192,25.2939217147,2.5143574318,1263.890,771.209,25.2938808378,2.5143976580,13.67736,-13.47259,13.2425,13.7245,12.5985
58,2560305703944755840,25.4919350515,2.6083559930,551.806,1109.751,25.4919398221,2.6083797396,-1.59611,-7.95323,13.2601,13.5630,12.7913
59,2558880805594762112,24.6677809259,2.7417268495,3515.563,1590.058,24.6677640497,2.7417436657,5.64571,-5.63210,13.2690,13.6019,12.7704
60,2560330958352447232,25.2534678693,2.9279982931,1409.524,2260.313,25.2533804931,2.9280448196,29.22595,-15.58268,13.3023,13.9342,12.5418
61,2560352948585000320,25.5147776872,3.0010446181,470.099,2523.488,25.5148814765,3.0011546855,-34.71354,-36.86387,13.3792,13.8719,12.7268
62,2560421599342225408,25.1302129113,3.2544761722,1852.649,3435.649,25.1302173766,3.2545058271,-1.49310,-9.93203,13.4127,13.6189,13.0668
63,2560322746374954496,25.1337402468,2.8219073899,1839.986,1878.367,25.1337135072,2.8219163990,8.94479,-3.01733,13.4280,13.9010,12.7904
64,2558796589876086528,25.2149850075,2.4512728215,1547.780,544.073,25.2149941667,2.4512808115,-3.06479,-2.67600,13.4304,13.7453,12.9480
65,2560380505095146752,25.0938975791,2.9522039484,1983.225,2347.440,25.0939120184,2.9522220992,-4.82962,-6.07908,13.4442,13.7413,12.9856
66,2560369368244736512,25.0434986921,2.8124456752,2164.465,1844.320,25.0435278622,2.8124961781,-9.75788,-16.91446,13.4661,13.7628,13.0072
67,2560416067424373248,25.4236201974,3.2944010838,798.080,3579.528,25.4235846253,3.2943888100,11.89418,4.11076,13.4800,13.8779,12.7432
68,2560401258377112704,24.9115994676,3.2154215091,2638.446,3295.139,24.9116395828,3.2154639407,-13.41430,-14.21123,13.4996,13.8587,12.9758
69,2560412665810275968,25.4635221711,3.2362511251,654.604,3370.214,25.4635040973,3.2362804915,6.04362,-9.83545,13.5026,14.1827,12.7094
70,2560397959842216704,24.8682305166,3.1111258175,2794.424,2919.694,24.8682539747,3.1111625797,-7.84501,-12.31244,13.5116,13.7977,13.0598
71,2558790817440235904,25.0149611572,2.3065107977,2267.279,22.916,25.0149637363,2.3065533432,-0.86310,-14.24940,13.5235,13.9289,12.9558
72,2560314637476704896,25.1879984791,2.5998258606,1644.864,1078.873,25.1878934169,2.5998434802,35.15133,-5.90118,13.5516,14.0104,12.9210
73,2558866408864414208,24.8158889722,2.6991384849,2983.000,1436.558,24.8159086317,2.6991320382,-6.57710,2.15915,13.5607,13.8565,13.0951
74,2560414246358265600,25.5474577335,3.2831799995,352.955,3539.280,25.5474195677,3.2832070805,12.76155,-9.06998,13.5733,13.9393,13.0367
75,2560394489508642688,24.9398664381,3.0683160525,2536.933,2765.516,24.9398678423,3.0683355223,-0.46962,-6.52085,13.6118,13.7731,13.3139
76,2558813421852170368,24.9763030006,2.5271509028,2406.227,817.275,24.9762895957,2.5271523223,4.48521,-0.47542,13.6303,13.9166,13.1747
77,2560329480883699072,25.3163276208,2.8605091507,1183.487,2017.379,25.3163032314,2.8605105014,8.15835,-0.45236,13.6326,13.9385,13.1655
78,2560394180270997120,24.9925298427,3.0730445647,2347.611,2782.507,24.9925027151,3.0730656846,9.07253,-7.07348,13.6421,14.0334,13.0889
79,2560395554660753792,25.0588018979,3.1008300475,2109.363,2882.511,25.0587737195,3.1008550802,9.42371,-8.38398,13.6480,14.1755,12.9677
80,2560297045290690688,25.3527795454,2.4539012651,1052.163,553.587,25.3527760661,2.4539193448,1.16420,-6.05528,13.7440,14.0547,13.2695
81,2560396138776097792,25.1099409948,3.1403471657,1925.525,3024.766,25.1099266281,3.1403645129,4.80451,-5.80994,13.7546,14.1356,13.2105
82,2560378099913460224,25.1896076201,2.9539620171,1639.125,2353.768,25.1897552207,2.9540596169,-49.36887,-32.68821,13.7660,14.4530,12.8438
83,2560412528371322240,25.5087483063,3.2349040174,492.038,3365.419,25.5087988419,3.2349707347,-16.89846,-22.34503,13.8099,14.1874,13.2612
84,2558803702341901440,24.8886653041,2.3702351128,2721.547,252.403,24.8886090412,2.3703022032,18.82751,-22.46999,13.8248,14.3723,13.1305
85,2560389163749191808,24.6972971802,2.9587148326,3409.121,2371.199,24.6971921505,2.9587570501,35.12976,-14.13954,13.8318,14.2982,13.2070
86,2560305463426588160,25.4690172570,2.5660870256,634.185,957.556,25.4690306829,2.5660928905,-4.49212,-1.96425,13.8449,14.1841,13.3402
87,2560402323529033984,25.2872568434,3.0310066590,1288.087,2631.162,25.2872411100,3.0309945433,5.26205,4.05782,13.8478,14.3153,13.2202
88,2560354082456367104,25.4107241572,2.9765722180,844.172,2435.277,25.4107225505,2.9766314632,0.53739,-19.84246,13.8546,14.5454,13.0543
89,2560383116435258368,25.1763454937,3.0645327503,1686.816,2751.826,25.1762001324,3.0645765244,48.61494,-14.66083,13.8663,14.5308,13.0827
90,2558816140567184896,24.8895034165,2.5824490618,2718.366,1016.405,24.8893158449,2.5824971189,62.75785,-16.09531,13.8694,14.4573,13.1448
91,2560304260835744640,25.2934626849,2.6120792024,1265.586,1123.014,25.2934987298,2.6121213018,-12.05963,-14.09998,13.8734,14.2301,13.3582
92,2560354322974535552,25.4564659197,2.9830183954,679.725,2458.527,25.4564323948,2.9830108364,11.21295,2.53167,13.8863,14.1649,13.4523
93,2560308040406989440,25.6262959675,2.6812864120,68.687,1372.471,25.6262476700,2.6811974183,16.15814,29.80584,13.9037,14.6974,12.9981
94,2558800678684938368,25.1694227186,2.4942589642,1711.660,698.823,25.1694122055,2.4943032216,3.51773,-14.82271,13.9209,14.2990,13.3817
95,2558883451294642048,24.7303722529,2.8631368867,3290.323,2027.062,24.7302574072,2.8631011242,38.41624,11.97761,13.9244,14.3186,13.3641
96,2560316114945452800,25.1227766493,2.6671580866,1879.418,1321.269,25.1227933875,2.6671996731,-5.59990,-13.92818,13.9259,14.9845,12.8867
97,2560383322593690112,25.0873252397,3.0415606352,2006.839,2669.129,25.0873173240,3.0415727225,2.64741,-4.04828,13.9293,14.2330,13.4715
98,2560382085643108736,25.0401884138,3.0470680767,2176.292,2688.969,25.0401665027,3.0470937109,7.32813,-8.58542,13.9586,14.2786,13.4728
99,2560298385320486400,25.2797213773,2.4921543100,1314.954,691.270,25.2795964310,2.4922097685,41.80755,-18.57421,13.9619,14.4291,13.3334
100,2560353292182411392,25.5560924150,3.0127264077,321.577,2565.597,25.5561023462,3.0127456201,-3.32157,-6.43465,13.9859,14.2667,13.5440
101,2560316836499985280,25.2698541520,2.6718223235,1350.512,1338.082,25.2698524432,2.6718542055,0.57170,-10.67795,14.0139,14.4198,13.4426
102,2560408508281908224,25.2172813112,3.2018518882,1539.687,3246.200,25.2172937349,3.2018614292,-4.15445,-3.19548,14.0256,14.2851,13.6071
103,2560323193051580928,25.3130853069,2.7356672668,1195.080,1567.944,25.3130499497,2.7357596776,11.82838,-30.95029,14.0293,14.5353,13.3734
104,2560403045083540096,25.2685657032,3.0297994559,1355.281,2626.808,25.2685152237,3.0298031057,16.88300,-1.22240,14.0388,14.3914,13.5220
