region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
R1_SW,1,2542115830251943040,5.1417759290,-0.9634731294,00:20:34.0,-00:57:48.5,5.1417199100,-0.9634396306,18.75927,-11.21946,13.0085,13.3370,12.5211
R1_SW,2,2542119163146586880,5.2053074922,-0.8409353517,00:20:49.3,-00:50:27.4,5.2053000197,-0.8409310103,2.50243,-1.45404,13.0724,13.5395,12.4423
R1_SW,3,2542063500370413440,5.2194280966,-1.1169668346,00:20:52.7,-01:07:01.1,5.2193738732,-1.1169621609,18.15711,-1.56530,13.1399,13.4479,12.6681
R1_SW,4,2542213240110970752,5.2283508275,-0.7932504390,00:20:54.8,-00:47:35.7,5.2283422842,-0.7932475753,2.86106,-0.95913,13.1825,13.4532,12.7509
R1_SW,5,2542044190197465344,5.2946365672,-1.2251414122,00:21:10.7,-01:13:30.5,5.2947304931,-1.2250222534,-31.45058,-39.90879,13.2632,13.6729,12.6920
R1_SW,6,2542108958304271232,5.0702308603,-1.0499602282,00:20:16.9,-01:02:59.9,5.0702107529,-1.0499410105,6.73325,-6.43642,13.3571,13.7884,12.7594
R1_SW,7,2542116139489587840,5.0866285855,-0.9757601166,00:20:20.8,-00:58:32.7,5.0866214620,-0.9757467804,2.38547,-4.46656,13.3874,13.9144,12.7056
R1_SW,8,2542056692846268416,5.1452034017,-1.1966243963,00:20:34.8,-01:11:47.8,5.1451833930,-1.1965890196,6.69988,-11.84841,13.4253,13.7851,12.8950
R1_SW,9,2542068654331180928,5.1841875850,-0.9770918053,00:20:44.2,-00:58:37.5,5.1840188555,-0.9770716366,56.50284,-6.75491,13.4652,14.6138,12.3977
R1_SW,10,2542160394833366016,5.4159330900,-0.9460991014,00:21:39.8,-00:56:46.0,5.4159054557,-0.9460533205,9.25407,-15.33298,13.4828,13.8192,12.9821
R1_SW,11,2542147647370461696,5.5048007117,-1.0124856087,00:22:01.2,-01:00:44.9,5.5047945339,-1.0124941379,2.06875,2.85663,13.6683,13.9713,13.2028
R1_SW,12,2542119231866063360,5.1817615086,-0.8336849786,00:20:43.6,-00:50:01.3,5.1817698203,-0.8336720824,-2.78348,-4.31920,13.7515,14.2374,13.1086
R1_SW,13,2542115417935083904,5.1460803384,-1.0000165245,00:20:35.1,-01:00:00.1,5.1460403680,-1.0000329764,13.38486,5.51011,13.7559,14.1445,12.3859
R1_SW,14,2542117239001239552,5.2146064503,-0.9275423117,00:20:51.5,-00:55:39.2,5.2145739706,-0.9275078718,10.87672,-11.53464,13.8659,14.3301,13.2321
R1_SW,15,2542060889030296960,5.1490002366,-1.1032453028,00:20:35.8,-01:06:11.7,5.1489545183,-1.1031994692,15.30918,-15.35063,13.8903,14.2104,13.4050
R1_SW,16,2542055906868236672,5.1832675232,-1.2151196093,00:20:44.0,-01:12:54.4,5.1831787334,-1.2150840860,29.73089,-11.89747,13.9134,14.5799,13.0789
R1_SW,17,2542056697142217984,5.1447911028,-1.1975712292,00:20:34.7,-01:11:51.3,5.1447717734,-1.1975363476,6.47242,-11.68256,13.9933,14.4011,13.4053
R1_SW,18,2542049859554307072,5.4078969075,-1.1914003560,00:21:37.9,-01:11:29.0,5.4078010005,-1.1913206728,32.11432,-26.68755,14.1230,14.7721,13.3465
R1_SW,19,2542163899526678784,5.4011458526,-0.8996169587,00:21:36.3,-00:53:58.6,5.4011400022,-0.8995887242,1.95918,-9.45631,14.1277,14.5369,13.5582
R1_SW,20,2542051130864627456,5.4644197955,-1.1808840362,00:21:51.5,-01:10:51.2,5.4643908268,-1.1808532926,9.70017,-10.29666,14.1486,14.4716,13.6523
