region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
R4_NE,1,2542210869289116800,5.9027651055,-0.3777984025,00:23:36.7,-00:22:40.1,5.9027737635,-0.3777756553,-2.89969,-7.61853,13.0991,13.4937,12.5407
R4_NE,2,2542181766590727296,5.9140456069,-0.7304837424,00:23:39.4,-00:43:49.7,5.9140832224,-0.7304635806,-12.59719,-6.75261,13.1517,13.4652,12.6744
R4_NE,3,2542263405329076480,5.7531128663,-0.2384014748,00:23:00.7,-00:14:18.2,5.7530813527,-0.2383722258,10.55448,-9.79608,13.2164,13.5615,12.7002
R4_NE,4,2542263233530384256,5.8266803538,-0.2038763546,00:23:18.4,-00:12:14.0,5.8266874703,-0.2037876943,-2.38344,-29.69420,13.3627,13.6616,12.8882
R4_NE,5,2542198224905401600,5.8600555434,-0.5554072656,00:23:26.4,-00:33:19.5,5.8600686343,-0.5553967215,-4.38421,-3.53145,13.5404,14.2589,12.6863
R4_NE,6,2542199118258564096,5.7841254030,-0.6032281563,00:23:08.2,-00:36:11.6,5.7841253263,-0.6031983005,0.02569,-9.99933,13.5524,13.8878,13.0586
R4_NE,7,2542205062493355776,6.0701136258,-0.5016761734,00:24:16.8,-00:30:06.0,6.0700647336,-0.5016246895,16.37437,-17.24306,13.6136,13.9832,13.0720
R4_NE,8,2542202897829821440,5.9752668535,-0.5790885321,00:23:54.1,-00:34:44.7,5.9752565560,-0.5790585965,3.44868,-10.02607,13.6808,14.1157,13.0835
R4_NE,9,2542210938008592640,5.9301133516,-0.3586181665,00:23:43.2,-00:21:31.0,5.9300921228,-0.3585794753,7.10983,-12.95847,13.7645,14.0520,13.3121
R4_NE,10,2542257564173555968,5.7896170528,-0.3317635086,00:23:09.5,-00:19:54.3,5.7896157199,-0.3317233059,0.44639,-13.46474,13.7924,14.1115,13.3091
R4_NE,11,2542201557800021888,5.8205299693,-0.5138195347,00:23:16.9,-00:30:49.8,5.8205650745,-0.5137772416,-11.75702,-14.16486,13.9951,14.3653,13.4529
R4_NE,12,2542170526659425280,5.7757304157,-0.7566932521,00:23:06.2,-00:45:24.1,5.7757086975,-0.7566713168,7.27323,-7.34662,14.0256,14.4566,13.4343
R4_NE,13,2542247977806519040,5.5726913980,-0.5392932035,00:22:17.4,-00:32:21.5,5.5726204172,-0.5392439811,23.77192,-16.48559,14.1212,14.4507,13.6230
R4_NE,14,2542203928621983360,5.9318646666,-0.5565874507,00:23:43.6,-00:33:23.7,5.9318592810,-0.5565578692,1.80366,-9.90747,14.1389,14.4981,13.6153
R4_NE,15,2542176062874118656,5.6556337457,-0.6285561938,00:22:37.4,-00:37:42.8,5.6556207633,-0.6285353048,4.34782,-6.99615,14.2282,14.6053,13.6804
R4_NE,16,2542209391820366464,5.8804412145,-0.3814264232,00:23:31.3,-00:22:53.1,5.8804529467,-0.3813596443,-3.92925,-22.36565,14.3018,15.0690,13.4491
R4_NE,17,2542191765274601600,6.0597495584,-0.5378857887,00:24:14.3,-00:32:16.4,6.0596774514,-0.5378800848,24.14909,-1.91036,14.3338,14.8425,13.6729
R4_NE,18,2542171660532765184,5.7463306567,-0.7100008116,00:22:59.1,-00:42:36.0,5.7461031952,-0.7099312322,76.17579,-23.30359,14.4000,15.8879,13.2055
R4_NE,19,2542262271457711232,5.7870156750,-0.2776748730,00:23:08.9,-00:16:39.6,5.7870000980,-0.2775673728,5.21700,-36.00406,14.4098,14.6655,13.9845
R4_NE,20,2542256292863238272,5.8622447550,-0.3871035257,00:23:26.9,-00:23:13.6,5.8621719763,-0.3870209702,24.37457,-27.64959,14.4173,14.8332,13.8291
