region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
R2_SE,1,2512259244834256000,25.4857304737,2.4530669485,01:41:56.6,+02:27:11.0,25.4857216048,2.4530866307,2.96767,-6.59200,13.2227,13.4846,12.8036
R2_SE,2,2560298419680248192,25.2939217147,2.5143574318,01:41:10.5,+02:30:51.7,25.2938808378,2.5143976580,13.67736,-13.47259,13.2425,13.7245,12.5985
R2_SE,3,2560305703944755840,25.4919350515,2.6083559930,01:41:58.1,+02:36:30.1,25.4919398221,2.6083797396,-1.59611,-7.95323,13.2601,13.5630,12.7913
R2_SE,4,2558796589876086528,25.2149850075,2.4512728215,01:40:51.6,+02:27:04.6,25.2149941667,2.4512808115,-3.06479,-2.67600,13.4304,13.7453,12.9480
R2_SE,5,2560314637476704896,25.1879984791,2.5998258606,01:40:45.1,+02:35:59.4,25.1878934169,2.5998434802,35.15133,-5.90118,13.5516,14.0104,12.9210
R2_SE,6,2560297045290690688,25.3527795454,2.4539012651,01:41:24.7,+02:27:14.0,25.3527760661,2.4539193448,1.16420,-6.05528,13.7440,14.0547,13.2695
R2_SE,7,2560305463426588160,25.4690172570,2.5660870256,01:41:52.6,+02:33:57.9,25.4690306829,2.5660928905,-4.49212,-1.96425,13.8449,14.1841,13.3402
R2_SE,8,2560304260835744640,25.2934626849,2.6120792024,01:41:10.4,+02:36:43.5,25.2934987298,2.6121213018,-12.05963,-14.09998,13.8734,14.2301,13.3582
R2_SE,9,2560308040406989440,25.6262959675,2.6812864120,01:42:30.3,+02:40:52.6,25.6262476700,2.6811974183,16.15814,29.80584,13.9037,14.6974,12.9981
R2_SE,10,2558800678684938368,25.1694227186,2.4942589642,01:40:40.7,+02:29:39.3,25.1694122055,2.4943032216,3.51773,-14.82271,13.9209,14.2990,13.3817
R2_SE,11,2560298385320486400,25.2797213773,2.4921543100,01:41:07.1,+02:29:31.8,25.2795964310,2.4922097685,41.80755,-18.57421,13.9619,14.4291,13.3334
R2_SE,12,2560316836499985280,25.2698541520,2.6718223235,01:41:04.8,+02:40:18.6,25.2698524432,2.6718542055,0.57170,-10.67795,14.0139,14.4198,13.4426
R2_SE,13,2560323193051580928,25.3130853069,2.7356672668,01:41:15.1,+02:44:08.4,25.3130499497,2.7357596776,11.82838,-30.95029,14.0293,14.5353,13.3734
R2_SE,14,2512266116781932928,25.6406022741,2.5542670980,01:42:33.7,+02:33:15.4,25.6405835425,2.5542194665,6.26737,15.95280,14.0577,14.6761,13.3072
R2_SE,15,2558812842032319488,25.1161762602,2.5512564267,01:40:27.9,+02:33:04.5,25.1161394409,2.5512773631,12.31933,-7.01204,14.0662,14.5779,13.3985
R2_SE,16,2512260653583528960,25.4700776867,2.4925902984,01:41:52.8,+02:29:33.3,25.4700822688,2.4926253828,-1.53317,-11.75052,14.1470,14.5177,13.6099
R2_SE,17,2512257526847337856,25.4530184535,2.4084626901,01:41:48.7,+02:24:30.5,25.4530116106,2.4084973434,2.28981,-11.60609,14.1684,14.5682,13.3746
R2_SE,18,2512266426019600128,25.5344693601,2.5088558370,01:42:08.3,+02:30:31.9,25.5344541424,2.5088756303,5.09184,-6.62920,14.2052,14.5393,13.7051
R2_SE,19,2560310754826293632,25.3467659315,2.6748162453,01:41:23.2,+02:40:29.3,25.3466701097,2.6748016373,32.05778,4.89252,14.2512,14.7949,13.5540
R2_SE,20,2560297354528335872,25.3574863704,2.4639301452,01:41:25.8,+02:27:50.1,25.3574763175,2.4639479852,3.36381,-5.97500,14.3145,14.6354,13.8254
