region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
R3_NW,1,2816011564074288384,344.6234735881,14.3565012122,22:58:29.6,+14:21:23.4,344.6234504256,14.3565289501,7.51537,-9.29000,13.1220,13.4645,12.6176
R3_NW,2,2815996514508887296,344.6256845256,14.2267423068,22:58:30.2,+14:13:36.3,344.6255892259,14.2268039381,30.93898,-20.64163,13.1314,13.4729,12.6227
R3_NW,3,2815985622471793792,344.4390792832,13.9463285295,22:57:45.4,+13:56:46.8,344.4390263745,13.9462776148,17.19788,17.05240,13.1350,13.4436,12.6614
R3_NW,4,2815941779445693056,344.8254803623,13.9656753840,22:59:18.1,+13:57:56.4,344.8254709249,13.9656806527,3.06736,-1.76462,13.1755,13.7362,12.4645
R3_NW,5,2816011220476904832,344.5600642820,14.3290223219,22:58:14.4,+14:19:44.5,344.5600630182,14.3290561361,0.41010,-11.32508,13.1981,13.6931,12.5447
R3_NW,6,2815991669785781376,344.6983545372,14.1015056921,22:58:47.6,+14:06:05.4,344.6983385507,14.1015057985,5.19289,-0.03561,13.3038,13.7300,12.7072
R3_NW,7,2816005821702342912,344.3549826386,14.2117866945,22:57:25.2,+14:12:42.4,344.3549164209,14.2118489130,21.49896,-20.83828,13.3668,13.7640,12.7900
R3_NW,8,2815986653263942784,344.4836654919,14.0341596929,22:57:56.1,+14:02:03.0,344.4836594696,14.0341858924,1.95679,-8.77474,13.3955,13.8094,12.8136
R3_NW,9,2816006203955067264,344.4160913882,14.2522418149,22:57:39.9,+14:15:08.1,344.4160393389,14.2522584964,16.89587,-5.58696,13.4525,13.7872,12.9544
R3_NW,10,2816006130939987200,344.4330991214,14.2526400083,22:57:43.9,+14:15:09.5,344.4331071315,14.2526644406,-2.60018,-8.18288,13.4841,13.8629,12.9407
R3_NW,11,2815943596216180992,344.7915207626,14.0534669067,22:59:10.0,+14:03:12.5,344.7915172166,14.0534758412,1.15209,-2.99233,13.5006,13.8061,13.0228
R3_NW,12,2815943772310517120,344.7772764204,14.0765305805,22:59:06.5,+14:04:35.5,344.7772778032,14.0765045636,-0.44921,8.71358,13.5165,13.8204,13.0478
R3_NW,13,2816010876879546624,344.6608959977,14.3562476291,22:58:38.6,+14:21:22.5,344.6609241777,14.3562805408,-9.14334,-11.02284,13.5283,13.8040,13.0918
R3_NW,14,2815991291828659840,344.6967640369,14.0901041730,22:58:47.2,+14:05:24.4,344.6968127042,14.0901506677,-15.80929,-15.57205,13.5906,13.9221,13.0923
R3_NW,15,2815933533108468096,344.6877366832,13.8476774756,22:58:45.1,+13:50:51.6,344.6876928098,13.8476699166,14.26705,2.53166,13.5994,14.0314,13.0081
R3_NW,16,2816003798773383552,344.3166290616,14.1481943358,22:57:16.0,+14:08:53.5,344.3166523995,14.1482031311,-7.57925,-2.94572,13.6436,13.9690,13.1313
R3_NW,17,2815991223109182848,344.6600306157,14.0789929759,22:58:38.4,+14:04:44.4,344.6600227777,14.0790165678,2.54624,-7.90140,13.7334,14.1416,13.1622
R3_NW,18,2815983045491416576,344.5597392115,13.9747220107,22:58:14.3,+13:58:29.0,344.5597014342,13.9747418363,12.27791,-6.64002,13.8334,14.1832,13.3224
R3_NW,19,2815983148570631552,344.5043151806,13.9659607492,22:58:01.0,+13:57:57.5,344.5042204467,13.9659623034,30.79043,-0.52052,13.8558,14.1907,13.3527
R3_NW,20,2816000294080071168,344.2897842520,14.1013857500,22:57:09.5,+14:06:05.0,344.2897350334,14.1014248561,15.98761,-13.09746,13.8597,14.2091,13.3459
