field,source_id,RA,Dec,mag_nb,mag_bb,line_flux_erg_cm2_s,logL_Lya_erg_s,area_arcsec2,priority
j2259,101,344.70311871507624,13.514118540374218,24.504372,25.874369,5.116793460316696e-17,42.66410785140946,89.49894343843421,1
j2259,501,344.6908834475951,13.996042335054508,24.681828,30.062447,6.01882349258652e-17,42.73462157184223,78.1901906487053,1
j2259,711,345.01251454940063,14.31070908687019,24.461285,25.28381,3.945066052949922e-17,42.551164243483946,69.61122626520624,1
j2259,398,344.46165897290854,13.885621836214698,24.41637,25.719507,5.4095922147746514e-17,42.68827449281345,67.07009242811412,1
j2259,332,345.2021477702549,13.795116629281798,22.59117,24.454708,3.4104288581186053e-16,43.48791895894312,66.44240230119094,1
j2259,686,345.0808375178978,14.270544357629758,24.367132,25.21261,4.381876063134797e-17,42.596770054231975,63.46659551655266,1
j2259,717,344.7943968212546,14.318391715544356,23.065817,24.36621,1.8746144071031359e-16,43.228021914823415,60.00368129349939,1
j2259,16,344.7541309936668,13.42734429353078,24.789936,26.719152,4.558816201995441e-17,42.61396204749119,59.35676416415178,1
j2259,533,344.6820732466505,14.013059649879889,24.679216,28.118767,5.820370160991133e-17,42.72006056997858,58.748646078765205,1
j2259,186,344.94792928621985,13.671861390070026,24.140566,25.822922,7.859913512427438e-17,42.850527731657394,54.45175017055331,1
j2259,135,345.05052655835345,13.551473637503166,24.088982,25.214468,6.753233176576506e-17,42.78462170976655,53.83148832711977,1
j2259,609,345.2088051709943,14.165778704111936,24.764109,28.193947,5.3804907877602994e-17,42.68593185655944,51.54480103123154,1
j2259,568,344.6865335310246,14.04625490050591,24.558971,99.0,6.787720143712542e-17,42.78683389255081,51.26488398482164,1
j2259,691,344.8607822184165,14.275563415005568,25.103394,27.208418,3.5195817446626144e-17,42.50160102084608,50.90392642819036,1
j2259,301,344.4917726618022,13.7733922921346,24.610216,26.593042,5.432246866201662e-17,42.69008946246026,50.32929090170175,1
j2259,555,344.6953343618909,14.031001021973816,24.0232,99.0,1.1118144857836719e-16,43.00114229255082,49.5128715301078,1
j2259,2,344.8157600101919,13.398865048059372,23.555626,25.840303,1.5017183271924486e-16,43.13169844539896,47.183550134545214,2
j2259,636,344.60507121593434,14.204138064851003,24.809685,27.021147,4.685298020229449e-17,42.625847184908295,46.61625401673177,2
j2259,33,344.74584706773175,13.44099332369544,22.604063,24.785986,3.557832681250737e-16,43.506295484513,46.18886155023252,2
j2259,317,344.81658769746537,13.78769471545325,24.78108,26.417896,4.3069262002023024e-17,42.58927739453524,45.943287323035335,2
j2259,655,344.64336808772885,14.232308259727752,24.72993,26.312868,4.449353462108019e-17,42.603406872413046,45.59300075140811,2
j2259,237,344.47527701565747,13.7120657485955,24.219982,26.403242,8.033423104041178e-17,42.86001060537911,44.71293889159796,2
j2259,457,344.97271694824616,13.948143246626357,24.76012,99.0,5.639808115642383e-17,42.70637429255082,44.49214194102993,2
j2259,308,345.2503054639917,13.77652390063874,22.026163,23.155497,4.523586588049365e-16,43.610592872169576,44.42017380207915,2
j2259,138,344.81120155535933,13.555468269717482,23.063429,24.374825,1.8869336800698064e-16,43.23086660072151,44.34562310430627,2
j2259,605,345.2061462437801,14.156430508493989,24.606743,26.054625,4.783701323962712e-17,42.63487402054541,44.20679283973425,2
j2259,495,344.7916037406692,13.991008982977334,24.032766,24.855984,5.857420085160105e-17,42.72281633648431,43.96146119334927,2
j2259,715,344.8214381670757,14.31886274074739,24.82799,26.445173,4.1033966474537355e-17,42.56825346369776,43.92221337838552,2
j2259,652,344.82405692389483,14.226132015017289,23.471237,24.490044,1.1252313309329384e-16,43.00635178056096,43.79362073640145,2
j2259,385,345.1768029322021,13.862819690586836,24.16361,25.622568,7.220906938930553e-17,42.81370171236958,43.669131306607056,2
j2259,304,344.5329806827972,13.774300898899211,24.749523,26.197462,4.194306995526442e-17,42.57777017918296,43.213677897344304,2
j2259,239,344.4887375350623,13.712966406963329,24.71403,25.86799,3.851473354615415e-17,42.54073686206488,43.2009665675802,2
j2259,120,345.0397966354101,13.534046665510274,23.169647,24.177391,1.4757386644468552e-16,43.12411942037817,43.11623377188136,2
j2259,604,344.57934806575963,14.15605486379755,25.094574,27.69888,3.768105039902665e-17,42.53123296511344,42.8960436341104,2
j2259,111,344.5299773020228,13.52213474520372,23.648415,25.678013,1.3280061126161496e-16,43.078310038437074,42.21721386042611,2
j2259,667,345.0728486501735,14.24622398598097,24.661192,27.326729,5.647402929665249e-17,42.70695873919681,41.47739885226216,2
j2259,354,345.28992486923346,13.81485974549359,24.422195,26.39527,6.448152756791053e-17,42.76454528176577,41.31630857795548,2
j2259,567,344.68657260019273,14.045749071669974,24.486967,99.0,7.253131112674829e-17,42.81563549255081,41.12562898967453,2
j2259,690,344.829211982772,14.27540049988905,24.936869,27.067451,4.119037560107724e-17,42.56990571656576,40.920308481890366,2
j2259,642,344.74618426994294,14.20973641757307,24.36604,25.178823,4.272518107804265e-17,42.58579387643245,40.91045433190305,2
j2259,229,345.0921499933202,13.701674022248213,24.551102,25.44542,3.836934252698236e-17,42.53909432187096,38.923384361140776,2
j2259,264,344.817974151361,13.736463217468842,24.590706,25.895903,4.610889164724416e-17,42.61889464730158,38.77856794917129,2
j2259,283,344.5978381366417,13.754671001994236,23.708769,25.140518,1.0879799632541459e-16,42.991730861673375,38.46504017953191,2
j2259,492,344.4991013539241,13.986377585587649,24.229298,26.128674,7.596897576165538e-17,42.83574623555191,37.45622430027584,2
j2259,668,345.0111455559743,14.246191747244,23.63542,25.098705,1.1761885921208916e-16,43.02558692726176,37.189356479174,2
j2259,491,344.75309679706254,13.986603286069784,24.031233,25.545906,8.301235586342389e-17,42.87425270357749,37.16821918276018,2
j2259,28,344.57188595871787,13.438824309035502,24.911526,99.0,4.905710640926958e-17,42.64581189255081,37.08759866393228,2
j2259,461,344.73693488409555,13.952756590575152,23.607128,24.998009,1.1780159367604668e-16,43.02626113024042,37.05195077009017,2
j2259,488,344.8693020638768,13.98204239753998,24.131077,25.98169,8.235789527553968e-17,42.87081520373846,35.975888431968855,2
j2259,108,344.67663444526937,13.519516240895662,24.70138,26.31543,4.6070397968836064e-17,42.61853192823177,35.90202346123517,2
