region,index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag
CFG01,1,2542115830251943040,5.1417759290,-0.9634731294,00:20:34.03,-00:57:48.50,5.1417199100,-0.9634396306,18.75927,-11.21946,13.0085,13.3370,12.5211
CFG01,2,2542119163146586880,5.2053074922,-0.8409353517,00:20:49.27,-00:50:27.37,5.2053000197,-0.8409310103,2.50243,-1.45404,13.0724,13.5395,12.4423
CFG01,3,2542228392755608960,5.3848406441,-0.5271514727,00:21:32.36,-00:31:37.75,5.3848444576,-0.5271368420,-1.27716,-4.90014,13.1455,13.2194,13.0149
CFG01,4,2542123385098436480,5.0717031538,-0.7961025546,00:20:17.21,-00:47:45.97,5.0717297843,-0.7960563313,-8.91825,-15.48115,13.1765,13.6289,12.4792
CFG01,5,2542213240110970752,5.2283508275,-0.7932504390,00:20:54.80,-00:47:35.70,5.2283422842,-0.7932475753,2.86106,-0.95913,13.1825,13.4532,12.7509
CFG01,6,2542235986257762560,5.1309047384,-0.5632651371,00:20:31.42,-00:33:47.75,5.1308793271,-0.5632572195,8.51037,-2.65177,13.2474,13.7367,12.6003
CFG01,7,2542135552741760384,5.0169450505,-0.7411516733,00:20:04.07,-00:44:28.15,5.0169322454,-0.7410867897,4.28833,-21.73089,13.4150,13.8662,12.8026
CFG01,8,2542222139283229056,5.4416344421,-0.6497154518,00:21:45.99,-00:38:58.98,5.4416541857,-0.6497136771,-6.61213,-0.59439,13.4370,13.7065,13.0099
CFG01,9,2542068654331180928,5.1841875850,-0.9770918053,00:20:44.21,-00:58:37.53,5.1840188555,-0.9770716366,56.50284,-6.75491,13.4652,14.6138,12.3977
CFG01,10,2542160394833366016,5.4159330900,-0.9460991014,00:21:39.82,-00:56:45.96,5.4159054557,-0.9460533205,9.25407,-15.33298,13.4828,13.8192,12.9821
CFG01,11,2542222517240350592,5.4592585568,-0.6133485406,00:21:50.22,-00:36:48.05,5.4591740663,-0.6132587024,28.29603,-30.08872,13.6046,14.1205,12.9362
CFG01,12,2542236639092790272,5.1212409859,-0.5262536986,00:20:29.10,-00:31:34.51,5.1212403009,-0.5262197505,0.22940,-11.36993,13.6106,14.2311,12.8604
CFG01,13,2542123183235949568,5.0841250596,-0.7974954226,00:20:20.19,-00:47:50.98,5.0841477920,-0.7974528695,-7.61282,-14.25191,13.7032,14.1671,13.0832
CFG01,14,2542119231866063360,5.1817615086,-0.8336849786,00:20:43.62,-00:50:01.27,5.1817698203,-0.8336720824,-2.78348,-4.31920,13.7515,14.2374,13.1086
CFG01,15,2542221761326107136,5.4296362906,-0.6639629744,00:21:43.11,-00:39:50.27,5.4295980620,-0.6639342093,12.80269,-9.63402,13.8008,14.1128,13.3213
CFG01,16,2542117239001239552,5.2146064503,-0.9275423117,00:20:51.51,-00:55:39.15,5.2145739706,-0.9275078718,10.87672,-11.53464,13.8659,14.3301,13.2321
CFG01,17,2542228633273776896,5.3953652039,-0.4935488477,00:21:34.89,-00:29:36.78,5.3952596494,-0.4935742689,35.35111,8.51410,13.8744,14.5102,13.0910
CFG01,18,2542242789485956736,5.1654983635,-0.4722946569,00:20:39.72,-00:28:20.26,5.1654862896,-0.4722780151,4.04364,-5.57369,13.9113,14.2528,13.3920
CFG01,19,2542121327810096768,5.0132700139,-0.8500200343,00:20:03.18,-00:51:00.07,5.0132044180,-0.8500570578,21.96705,12.39996,13.9707,14.4433,13.3315
CFG01,20,2542219390504135552,5.2085854551,-0.6892532958,00:20:50.06,-00:41:21.31,5.2086341992,-0.6891825457,-16.32424,-23.69571,13.9777,14.3254,13.4656
