,RA,Dec,Epoch,source_id,Type,priority,Redshift,line_flux_erg_cm2_s
1,5.452052046128491,-0.7309904897130978,J2026.10,380,T,1,3.2,9.279300659130989e-16
2,5.343151091464319,-0.9115962146429792,J2026.10,168,T,1,3.2,5.723813214712938e-16
13,5.355860805864452,-0.56321122640773,J2026.10,579,T,2,3.2,6.294472154462996e-16
14,5.3538653267078615,-0.7720203111078863,J2026.10,339,T,2,3.2,9.233671022722498e-17
18,5.220096393566476,-0.6611828535748018,J2026.10,459,T,2,3.2,2.1038292712075504e-16
21,5.399784076834214,-0.8864582391168826,J2026.10,191,T,2,3.2,4.997834674541341e-17
23,5.243713873164543,-0.6585179524636691,J2026.10,461,T,2,3.2,1.5955511282360286e-16
29,5.118803080840417,-0.860565833522567,J2026.10,230,T,2,3.2,9.088169007717823e-17
30,5.15651845767097,-0.6406254657881061,J2026.10,484,T,2,3.2,4.279447912340458e-17
36,5.238821392313104,-0.8862285021114905,J2026.10,190,T,2,3.2,5.773379732942188e-17
38,5.33881384466203,-0.77513408222138,J2026.10,335,T,2,3.2,3.861629204452637e-17
44,5.194633212802367,-0.911997838234245,J2026.10,163,T,2,3.2,6.929219101687018e-17
46,5.233663556580193,-0.5364132654015136,J2026.10,619,T,2,3.2,6.168207224452045e-17
49,5.188572938599957,-0.5698437765856804,J2026.10,573,T,2,3.2,8.190776324161667e-17
51,5.364354539928651,-0.6624260570811418,J2026.10,455,T,2,3.2,8.429699412250316e-17
58,5.121130799995518,-0.80637688693392,J2026.10,296,T,2,3.2,4.0128904648811184e-17
63,5.143926425085242,-0.5878549363843298,J2026.10,550,T,2,3.2,6.203038936315232e-17
79,5.242062080845859,-0.591659650780636,J2026.10,542,T,2,3.2,6.75825638418727e-17
80,5.121631642870405,-0.885751275802199,J2026.10,192,T,2,3.2,6.186416823979538e-17
87,5.1632452227332735,-0.7717277961888312,J2026.10,338,T,2,3.2,4.7542101135681256e-17
91,5.254929344841568,-0.8154292194481526,J2026.10,285,T,2,3.2,3.915278794652787e-17
92,5.463460716826179,-0.675459228200274,J2026.10,436,T,2,3.2,5.701807123446636e-17
93,5.483971201145199,-0.6988096966648937,J2026.10,410,T,2,3.2,4.757928300423323e-17
99,5.288690776207868,-0.8455055061351311,J2026.10,250,T,2,3.2,4.4476971535710235e-17
104,5.175872510542274,-0.7537382363994009,J2026.10,359,T,2,3.2,4.474085323903668e-17
109,5.337455057368448,-0.811607244766194,J2026.10,288,T,2,3.2,4.7520194258426186e-17
110,5.144648685686156,-0.6344327696845701,J2026.10,494,T,2,3.2,4.40478267919675e-17
113,5.196398825863329,-0.6420392227895003,J2026.10,482,T,2,3.2,5.664075330673492e-17
119,5.262167565154909,-0.5610331656598393,J2026.10,580,T,2,3.2,4.001476496421776e-17
122,5.257849014713036,-0.5499784651599908,J2026.10,601,T,2,3.2,6.308145065455854e-17
123,5.156959003258653,-0.601200612431211,J2026.10,533,T,2,3.2,4.518124125388974e-17
126,5.198268822831613,-0.681468007317205,J2026.10,428,T,2,3.2,4.036955106691077e-17
127,5.190967320485777,-0.8593769495180031,J2026.10,224,T,2,3.2,5.241057524697834e-17
133,5.134615422401549,-0.682119199592713,J2026.10,427,T,2,3.2,4.4441962157654155e-17
140,5.258262653333818,-0.796626835751766,J2026.10,308,T,2,3.2,4.2525759939183715e-17
141,5.222361864023789,-0.8470494943328963,J2026.10,249,T,2,3.2,1.2549221757112312e-16
143,5.24410398998565,-0.8678666934263978,J2026.10,214,T,2,3.2,7.895085870834442e-17
144,5.241412213813408,-0.8805178540576944,J2026.10,200,T,2,3.2,6.407460116592886e-17
146,5.343317132378204,-0.9106471760884808,J2026.10,164,T,2,3.2,5.024560015083922e-17
148,5.18609436635066,-0.8564347573209989,J2026.10,234,T,2,3.2,3.8376683695505187e-17
151,5.179578282669012,-0.8540796794676996,J2026.10,237,T,3,3.2,3.608597607334688e-17
154,5.121685127436602,-0.8829636138624922,J2026.10,197,T,3,3.2,2.7632917170441157e-17
157,5.308369329488456,-0.930847007421916,J2026.10,138,T,3,3.2,3.152617161625982e-17
161,5.14412265095841,-0.811712820618979,J2026.10,289,T,3,3.2,2.168403347952521e-17
167,5.397340838927239,-0.6187065999471433,J2026.10,510,T,3,3.2,3.497225181937146e-17
168,5.248949049890761,-0.7207992955237678,J2026.10,387,T,3,3.2,3.579670129142727e-17
