RA,Dec,Epoch,source_id,Type,priority,Redshift,line_flux_erg_cm2_s
345.2021477702549,13.795116629281798,J2026.10,332,T,1,3.12,3.410428858118605e-16
344.94792928621985,13.671861390070026,J2026.10,186,T,1,3.12,7.859913512427438e-17
344.81658769746537,13.78769471545325,J2026.10,317,T,2,3.12,4.3069262002023024e-17
344.97271694824616,13.948143246626357,J2026.10,457,T,2,3.12,5.639808115642383e-17
345.2503054639917,13.77652390063874,J2026.10,308,T,2,3.12,4.523586588049365e-16
345.1768029322021,13.862819690586836,J2026.10,385,T,2,3.12,7.220906938930553e-17
345.28992486923346,13.81485974549359,J2026.10,354,T,2,3.12,6.448152756791053e-17
345.0921499933202,13.701674022248213,J2026.10,229,T,2,3.12,3.8369342526982355e-17
344.8693020638768,13.98204239753998,J2026.10,488,T,2,3.12,8.235789527553968e-17
345.08276445857786,13.718537320002302,J2026.10,250,T,2,3.12,6.87809959929644e-17
345.15966414370894,13.748013669523107,J2026.10,277,T,2,3.12,4.0264661151700245e-17
344.8222220212206,13.866010526674415,J2026.10,388,T,2,3.12,4.3176191829317307e-17
345.16297553544985,13.90214980080068,J2026.10,410,T,2,3.12,6.739934801639899e-17
345.1553757629127,13.76080523240604,J2026.10,286,T,2,3.12,6.026104530030393e-17
344.834295553126,13.835444881359797,J2026.10,366,T,2,3.12,4.682860579902304e-17
345.1657521757814,13.848352038949873,J2026.10,375,T,2,3.12,6.916892774189985e-17
344.93255291051213,13.981448925904624,J2026.10,486,T,2,3.12,3.702035638424433e-17
344.9753622311628,13.759608326998144,J2026.10,285,T,2,3.12,5.3434548012152986e-17
345.0755238525545,13.64894435715158,J2026.10,158,T,2,3.12,7.546156729233774e-17
345.2059819671253,13.764742564171115,J2026.10,294,T,2,3.12,6.205454624144967e-17
345.2964578144454,13.805796667824682,J2026.10,345,T,2,3.12,3.5095238082818985e-17
345.19582133780744,13.74026966095506,J2026.10,268,T,2,3.12,5.288869548081496e-17
345.1890309194832,13.786320463093665,J2026.10,314,T,2,3.12,4.570000825146225e-17
345.1548320976855,13.779217823679025,J2026.10,309,T,2,3.12,3.8853970227949585e-17
345.0300864363209,14.052453570715572,J2026.10,579,T,2,3.12,7.764478624447008e-17
