field,source_id,RA,Dec,mag_nb,mag_bb,line_flux_erg_cm2_s,logL_Lya_erg_s,area_arcsec2,priority
j0022,607,5.6209533020126825,-0.5459108275014172,21.786177,22.624485,4.931910300299671e-16,43.62151761367281,99.47879130216548,1
j0022,380,5.452052046128491,-0.7309904897130978,21.194675,22.154848,9.279300659130989e-16,43.8960176910096,83.73537393577611,1
j0022,168,5.343151091464319,-0.9115962146429792,21.980202,23.470278,5.723813214712938e-16,43.68618789743969,82.80082888690484,1
j0022,740,5.787738556137523,-0.351571207257618,23.815546,99.0,1.4142142232472371e-16,43.07901764524088,65.81339422199397,1
j0022,119,5.27141409864672,-1.0285514670249565,22.7434,23.82068,2.3888715301792835e-16,43.306695239150905,63.64541286848413,1
j0022,618,5.66718846355432,-0.5377608091809823,22.268694,23.509647,4.0039035228751047e-16,43.53098604873427,61.82200451312785,1
j0022,758,5.816031760434967,-0.3374448767120335,22.975386,24.030535,1.9058851972729591e-16,43.208599181426735,52.36580819321915,1
j0022,167,5.73373118602147,-0.9084699208919018,23.734184,24.883617,9.954689833563888e-17,42.92653017736424,52.21239641284204,1
j0022,221,5.9613092119922,-0.8644658047749251,24.313696,26.487522,7.731256912526387e-17,42.816752549736,51.23974141074159,1
j0022,676,5.511330053064698,-0.4018770497399916,23.266825,24.677794,1.7050788138750807e-16,43.16024690265007,50.35448958072759,1
j0022,452,5.6712160651498,-0.6659639522755798,23.437141,24.683208,1.3679151651675188e-16,43.06456160877181,50.15972536562286,1
j0022,424,5.689338880795054,-0.6849252384528055,24.210094,25.505875,6.852077110685644e-17,42.764324686166304,47.209883534212736,2
j0022,729,5.728297839072344,-0.3576826127615654,23.711653,24.52971,8.23654251827792e-17,42.84424738912403,41.84981831726687,2
j0022,579,5.355860805864452,-0.56321122640773,21.729134,22.873463,6.294472154462996e-16,43.7274617611089,40.26377505784494,2
j0022,339,5.3538653267078615,-0.7720203111078863,24.11127,26.22545,9.233671022722498e-17,42.893876841904174,39.89474298491035,2
j0022,263,6.003071073562037,-0.8321043293104678,22.396595,23.423988,3.1967829581679083e-16,43.43321559581717,39.48855820328683,2
j0022,103,5.45834957291325,-1.0491732928355428,24.23526,25.038128,5.0214143307336e-17,42.6293285021467,39.45124171949647,2
j0022,705,5.349715831870298,-0.3827534505552403,24.658758,26.2334,4.9793824890579347e-17,42.62567793215425,39.37973213462624,2
j0022,459,5.220096393566476,-0.6611828535748018,22.845648,23.86489,2.1038292712075504e-16,43.25151293774484,39.29896818808034,2
j0022,51,5.413909327920228,-1.10232994172909,23.976166,25.209871,8.281916440934863e-17,42.84663328890347,38.80922490156164,2
j0022,2,5.742712812754895,-1.2015227899943943,23.926718,24.958792,7.831551341634913e-17,42.822350243857976,38.7953868086128,2
j0022,191,5.399784076834214,-0.8864582391168826,24.233604,25.029112,4.997834674541341e-17,42.62728433027905,37.6991566603158,2
j0022,443,6.059557878712903,-0.6704062672448052,24.93424,28.24092,4.806964608114405e-17,42.6103733690517,37.6547863133754,2
j0022,461,5.243713873164543,-0.6585179524636691,23.360146,24.829887,1.5955511282360286e-16,43.13141316985198,37.23640394530592,2
j0022,545,5.951553895109114,-0.5907117816696772,24.695906,26.381975,4.955672380967764e-17,42.62360503194532,37.15120731281191,2
j0022,352,6.076088226820282,-0.7596805396357673,24.525373,26.254505,5.85902916712179e-17,42.696328104455056,36.4932971294224,2
j0022,150,5.619390647737853,-0.9204760257683848,23.519262,25.010008,1.3872426156918484e-16,43.07065486619731,36.45292818864717,2
j0022,456,5.95230593008233,-0.6616379673594692,23.919178,24.824963,7.273245965206393e-17,42.79023071916484,35.51286865006508,2
j0022,14,5.350166816228576,-1.175860386037163,24.421192,27.223097,7.482696183401518e-17,42.80256055657394,34.979357796366855,2
j0022,230,5.118803080840417,-0.860565833522567,23.634937,24.487879,9.088169007717823e-17,42.88697883923884,34.89846055309149,2
j0022,484,5.15651845767097,-0.6406254657881061,24.76987,26.186604,4.2794479123404575e-17,42.559890189152576,34.84675579558876,2
j0022,691,5.613535458057261,-0.3907288434981572,24.175533,25.03055,5.5326359474761735e-17,42.67143453863815,34.626327621122016,2
j0022,564,5.61477256258225,-0.5786071337476496,24.3082,25.779325,6.666252212367565e-17,42.75238418528217,34.603160889709855,2
j0022,666,5.411852789135442,-0.4090257932830959,24.656643,25.992544,4.613215298708299e-17,42.59250616805944,34.41305456308144,2
j0022,457,6.0560305374062064,-0.660995565452844,23.412144,25.191212,1.6522413116488267e-16,43.14657592125976,33.552007160648714,2
j0022,179,5.878014864405224,-0.8992913615540904,24.369484,26.559835,7.361356954356222e-17,42.795460321768346,33.27018651477545,2
j0022,190,5.238821392313104,-0.8862285021114905,24.087318,24.894106,5.773379732942188e-17,42.689932567781305,33.13923366191719,2
