_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
025.2013965776533	+02.7397428783519	025.20141682004	0.0781	+02.73972395540	0.0513	2560318210889491456	0.0582	0.0851	4.696	0.153	-4.395	0.098	0	4.4387e+03	4.2232e+00	16.5702	0.0010	2.3155e+03	1.7044e+01	16.9398	0.0080	3.0933e+03	1.5769e+01	16.0359	0.0055	0.9039			5382.60				
025.1596865663422	+02.7641239458908	025.15968115288	0.1019	+02.76411170436	0.0701	2560321505129281920	0.1915	0.1062	-1.256	0.243	-2.843	0.137	0	3.0899e+03	3.3840e+00	16.9635	0.0012	1.6480e+03	1.4050e+01	17.3090	0.0093	2.0821e+03	1.0521e+01	16.4657	0.0055	0.8433			5757.33	1.1793	0.6170		
025.2425482128011	+02.8041477244637	025.24254849220	0.1441	+02.80412871624	0.0678	2560327415004300288	0.3712	0.1413	0.065	0.221	-4.415	0.127	0	4.2827e+03	4.6163e+00	16.6091	0.0012	2.2458e+03	1.3090e+01	16.9730	0.0063	2.9480e+03	1.5633e+01	16.0881	0.0058	0.8848			5727.00	0.3260	0.1727		
025.2044499108759	+02.8285423634249	025.20447041018	0.1418	+02.82851909642	0.0659	2560328415731784832	0.4988	0.1378	4.755	0.226	-5.404	0.120	0	3.2340e+03	4.1397e+00	16.9140	0.0014	1.4172e+03	1.0096e+01	17.4728	0.0077	2.5563e+03	1.4426e+01	16.2429	0.0061	1.2299			4819.50	0.7845	0.3865		
025.2158913702730	+02.8500330958067	025.21591134071	0.1397	+02.85005614859	0.0645	2560328896768121344	1.2151	0.1469	4.633	0.191	5.354	0.115	0	4.3064e+03	4.7011e+00	16.6031	0.0012	1.9260e+03	1.0351e+01	17.1398	0.0058	3.4336e+03	1.1995e+01	15.9225	0.0038	1.2172			4912.00	0.0940	0.0540		
025.0172931753646	+02.7754166279482	025.01730030494	0.0853	+02.77539760248	0.0714	2560367757632217344	0.9784	0.1121	1.654	0.212	-4.419	0.136	0	4.4627e+03	4.3795e+00	16.5644	0.0011	1.9172e+03	1.6508e+01	17.1447	0.0093	3.6399e+03	2.8238e+01	15.8592	0.0084	1.2855			4995.67	0.2345	0.1055	0.60	0.203
024.9950595133828	+02.8005260463415	024.99509830533	0.0889	+02.80054106584	0.0648	2560368577970863488	0.1960	0.1000	8.999	0.210	3.488	0.129	0	4.3049e+03	4.5440e+00	16.6035	0.0011	2.3224e+03	2.3575e+01	16.9366	0.0110	2.8805e+03	1.5043e+01	16.1133	0.0057	0.8233			5810.50				
024.9050905222344	+02.8782629027220	024.90506552217	0.0868	+02.87826159779	0.0667	2560372976017411840	0.7914	0.1061	-5.799	0.183	-0.303	0.121	0	3.8423e+03	4.7865e+00	16.7269	0.0014	1.5728e+03	1.2305e+01	17.3597	0.0085	3.2218e+03	1.6831e+01	15.9917	0.0057	1.3680			4624.10	0.7438	0.3620	0.85	0.297
024.9746727144256	+02.9175357899864	024.97468485118	0.0874	+02.91754105980	0.0725	2560374251622747136	1.5226	0.1186	2.815	0.191	1.224	0.125	0	3.4220e+03	3.4190e+00	16.8527	0.0011	1.1240e+03	8.1420e+00	17.7245	0.0079	3.3850e+03	1.0197e+01	15.9380	0.0033	1.7865			3987.92	0.3180	0.1417	0.66	0.098
024.9258558081733	+02.8979226853990	024.92583483644	0.0921	+02.89790622993	0.0665	2560374487845909760	0.5177	0.1073	-4.865	0.193	-3.822	0.120	0	3.6262e+03	4.0911e+00	16.7897	0.0012	1.5770e+03	2.6224e+01	17.3568	0.0181	2.9474e+03	1.8799e+01	16.0883	0.0069	1.2685			5101.00	0.9350	0.4540		
024.9521864137055	+02.9630867925062	024.95221889246	0.1169	+02.96310564518	0.0651	2560375484278357888	0.6303	0.1319	7.533	0.194	4.379	0.109	0	4.3122e+03	4.4358e+00	16.6016	0.0011	1.7907e+03	1.6098e+01	17.2188	0.0098	3.5709e+03	1.9446e+01	15.8800	0.0059	1.3389			4663.26	1.0640	0.5153		
025.1294721595635	+02.8508420973830	025.12949686345	0.1185	+02.85082166957	0.0745	2560375626012328192	0.5054	0.1378	5.731	0.198	-4.745	0.148	0	3.4300e+03	3.4498e+00	16.8501	0.0011	1.5740e+03	6.8573e+00	17.3589	0.0047	2.6465e+03	6.9170e+00	16.2053	0.0028	1.1536			4962.40				
025.1127793433907	+02.9557401872165	025.11278477073	0.0922	+02.95572713617	0.0622	2560377584517384960	-0.1127	0.1065	1.259	0.186	-3.031	0.118	0	4.1621e+03	3.1092e+00	16.6401	0.0008	1.9766e+03	1.9829e+01	17.1116	0.0109	3.1664e+03	1.4118e+01	16.0105	0.0048	1.1011			4973.00				
025.1897029015107	+02.9538597837103	025.18970290151	2.1458	+02.95385978371	0.7537	2560378099912984704							0	4.7165e+03	2.4911e+01	16.5043	0.0057																
025.0986572054263	+03.0602485258594	025.09868995457	0.1625	+03.06020830406	0.1229	2560383460032642688	2.4763	0.2030	7.595	0.339	-9.342	0.211	0	3.7986e+03	7.8453e+00	16.7393	0.0022	8.7581e+02	9.6166e+00	17.9954	0.0119	4.6275e+03	1.5973e+01	15.5986	0.0037	2.3968			3375.00			0.74	0.064
024.8720572927129	+02.9297886529628	024.87206468250	0.0811	+02.92978678818	0.0616	2560386616833570560	0.4119	0.1059	1.714	0.171	-0.433	0.114	0	4.0123e+03	3.9480e+00	16.6799	0.0011	2.1433e+03	1.4072e+01	17.0237	0.0071	2.6617e+03	2.0504e+01	16.1990	0.0084	0.8246			5648.00	0.0657	0.0295		
025.0749308003253	+03.0875369129784	025.07493002455	0.0971	+03.08754135392	0.0762	2560395485941070464	0.6145	0.1239	-0.180	0.173	1.031	0.159	1	3.6053e+03	3.9170e+00	16.7960	0.0012	1.9428e+03	3.6460e+01	17.1303	0.0204	2.5373e+03	1.6288e+01	16.2510	0.0070	0.8793			5547.60	0.0330	0.0350		
024.9821762689312	+03.1535520612675	024.98215577250	0.0912	+03.15351293704	0.0709	2560399780908349440	4.6726	0.1135	-4.753	0.164	-9.087	0.121	0	4.4112e+03	5.1317e+00	16.5770	0.0013	9.4064e+02	1.5180e+01	17.9178	0.0175	5.3229e+03	3.0327e+01	15.4466	0.0062	2.4713			3786.00	0.3087	0.1730		
025.2507238273578	+03.0918681052267	025.25076366903	0.0702	+03.09186965366	0.0575	2560406476761922432	0.4100	0.0808	9.240	0.156	0.360	0.119	0	4.0354e+03	3.3190e+00	16.6736	0.0009	1.9838e+03	2.7321e+01	17.1076	0.0150	2.9996e+03	1.5474e+01	16.0693	0.0056	1.0384			5112.00	0.6163	0.3090		
